ANS;PE;ANS;Andahuaylas;Андауайлас;America/Lima;-13.716667;-73.355835
LFQ;CN;LFQ;"Linfen Qiaoli Airport";Линьфэнь;Asia/Shanghai;36.13222;111.64158
GSV;RU;RTW;"Saratov Gagarin Airport";Гагарин;Europe/Saratov;51.716667;46.166667
FYJ;CN;FYJ;"Fuyuan Dongji Airport";Фуюань;Asia/Shanghai;48.199494;134.366447
DSS;SN;DKR;"Blaise Diagne International Airport";"Блез Диань Дакар";Africa/Dakar;14.671111;-17.066944
INW;US;INW;Winslow-Lindbergh;;America/Phoenix;35.024166;-110.725
SZY;PL;SZY;"Olsztyn-Mazury Airport";Ольштын-Мазуры;Europe/Warsaw;52.43611;20.938334
BRW;US;BRW;"Wiley Post-Will Rogers Memorial Airport";Барроу;America/Anchorage;71.288574;-156.77579
NGR;PG;NGR;Ningerum;;Pacific/Port_Moresby;-6.5;141
PKX;CN;BJS;"Beijing Daxing International Airport";"Пекин Дасин";Asia/Shanghai;39.49746;116.41229
YFC;CA;YFC;"Fredericton International Airport";Фредериктон;America/Moncton;45.87316;-66.52978
ISL;TR;IST;"Istanbul Ataturk Airport";Ататюрк;Europe/Istanbul;40.976665;28.815277
YFE;CA;YFE;Forestville;;America/Montreal;48.75;-69.066666
MRU;MU;MRU;"Sir Seewoosagur Ramgoolam International Airport";"Сивусагур Рамгулам ";Indian/Mauritius;-20.431997;57.67663
BLR;IN;BLR;"Kempegowda International Airport";Индустан;Asia/Kolkata;13.198889;77.70556
YKA;CA;YKA;"Kamloops Airport";Камлупс;America/Vancouver;50.70545;-120.442024
NHA;VN;NHA;"Nha Trang";Нячанг;Asia/Ho_Chi_Minh;12.227912;109.19666
NDV;US;NDV;"USN Heliport";;America/New_York;38.86667;-77
YTM;CA;YTM;"La Macaza";;America/Montreal;46.515556;-74.75528
DBR;IN;DBR;Darbhanga;Дарбханга;Asia/Kolkata;26.194494176574;85.916272783184
GGR;SO;GGR;Garoe;;Africa/Mogadishu;8.283333;48.333332
YFH;CA;YFH;"Fort Hope";;America/Toronto;51.559345;-87.89796
ETM;IL;ETH;"Ramon Airport";Рамон;Asia/Jerusalem;29.72369;35.011417
LEQ;GB;LEQ;"Lands End";;Europe/London;50.05;-5.733333
YTL;CA;YTL;"Big Trout";;America/Winnipeg;53.81594;-89.88952
CSG;US;CSG;"Columbus Airport";"Коламбус Метрополитен";America/New_York;32.466667;-84.98333
ANK;TR;ANK;Etimesgut;Этимесгут;Europe/Istanbul;39.94949;32.68955
YFL;CA;YFL;"Fort Reliance";;America/Yellowknife;62.7;-109.13333
NIC;CY;NIC;"Nicosia International";;Asia/Nicosia;35.15111;33.27222
SXW;PG;SXW;Sauren;;Pacific/Port_Moresby;-5.971389;148.95305
YXE;CA;YXE;"Saskatoon International Airport";Саскатун;America/Regina;52.169704;-106.69037
YFS;CA;YFS;"Fort Simpson";;America/Yellowknife;61.75;-121.23333
RWI;US;RWI;"Rocky Mount-wilson";;America/New_York;35.854443;-77.89056
YGA;CA;YGA;Gagnon;;America/Montreal;51.95;-68.13333
NEN;US;NEN;"Olf Usn";;America/New_York;30.316668;-81.85
NET;BS;NET;"New Bight";;America/Nassau;24.32;-75.45
NIF;AU;NIF;"Nifty Airport";Нифти;Australia/Perth;-21.675;121.58611
ZIX;RU;ZIX;"Zhigansk Airport";Жиганск;Asia/Yakutsk;66.796667;123.361389
YGC;CA;YGC;"Grande Cache";;America/Edmonton;53.916668;-118.86667
VKO;RU;MOW;"Vnukovo Airport";Внуково;Europe/Moscow;55.60315;37.2921
LED;RU;LED;"Pulkovo Airport";Пулково;Europe/Moscow;59.806084;30.3083
TDS;PG;TDS;Sasereme;;Pacific/Port_Moresby;;
ITU;RU;ITU;Iturup;Итуруп;Asia/Srednekolymsk;45.25611;147.95583
LTT;FR;LTT;"La Mole";;Europe/Paris;43.283333;6.633333
QLU;PL;QLU;Lublin;Люблин;Europe/Warsaw;51.240278;22.713611
HGH;CN;HGH;"Hangzhou Xiaoshan International Airport";Ханчжоу;Asia/Shanghai;30.236935;120.43236
EWI;ID;EWI;Enarotali;Энаротали;Asia/Jayapura;-3.966667;136.33333
DYN;CN;SHA;"Danyang Railway Station";"Железнодорожная станция Даньян";Asia/Shanghai;0;0
SIP;KX;SIP;"Simferopol International Airport";Симферополь;Europe/Simferopol;45.020657;33.99819
YAJ;CA;YAJ;"Lyall Harbour";;America/Vancouver;48.8;-123.2
AHE;PF;AHE;"Ahe Airport";;Pacific/Tahiti;-14.428056;-146.25694
BCY;ET;BCY;Bulchi;Бульчи;Africa/Addis_Ababa;6.216667;36.666668
RZZ;US;RZZ;"Halifax County";;America/New_York;36.466667;-77.666664
YGQ;CA;YGQ;Geraldton;;America/Toronto;49.733334;-86.95
ROV;RU;ROV;"Platov International Airport";"Ростов-на-Дону (Платов)";Europe/Moscow;47.49417;39.92472
LAK;CA;LAK;Aklavik;Аклавик;America/Yellowknife;68.22222;-134.98584
PKC;RU;PKC;"Petropavlovsk-Kamchatsky Airport";Елизово;Asia/Kamchatka;53.016666;158.65
MEW;CD;MEW;Mweka;Мвека;Africa/Lubumbashi;-4.85;21.566668
LGM;PG;LGM;Laiagam;Лаягам;Pacific/Port_Moresby;-4.333333;145.41667
YGW;CA;YGW;"Kuujjuarapik Airport";Кууджуарапик;America/Montreal;55.279167;-77.76667
WTB;AU;TWB;"Toowoomba Wellcamp Airport";;Australia/Queensland;-27.56364;151.7965
ADA;TR;ADA;"Adana Airport";Адана;Europe/Istanbul;36.98503;35.29736
DPT;RU;DPT;Deputatsky;Депутатский;Asia/Yakutsk;69.39167;139.89917
WOW;US;WOW;Willow;;America/Anchorage;61.833332;-150.16667
SVX;RU;SVX;"Koltsovo International Airport";Кольцово;Asia/Yekaterinburg;56.750336;60.804314
ACN;MX;ACN;International;;America/Matamoros;29.3;-100.916664
